steamidnumber;gametitle;releasemonth;releaseyear;releaseprice;lowestestimatedownersnumber;highestestimatedownersnumber;averageestimatedownersnumber;developer;publisher
5025;GreyEyesofDeath;April;2022;599,00 Ä;20;20;20;HostedGames;HostedGames
5026;MachinationsFogofWar;August;2016;399,00 Ä;20;20;20;HostedGames;HostedGames
5027;TheAncientRemains;March;2017;999,00 Ä;20;20;20;OuthouseGames;OuthouseGames
5028;BadGovernment;February;2018;299,00 Ä;20;50;35;FreeTimeDev;FreeTimeDev
5029;SmartBoy;February;2018;499,00 Ä;20;20;20;YAOYICHEN;YAOYICHEN
5030;AdventureinKanaVillage;May;2018;209,00 Ä;20;20;20;CoughCat;CoughCatSoftware
5031;YogaLessonVR;August;2018;1.999,00 Ä;20;50;35;StudioThugLife;StudioThugLife
5032;ASquiresTale;May;2020;399,00 Ä;20;20;20;ChoiceofGames;ChoiceofGames
5033;TheLastPlace;March;2021;4.499,00 Ä;20;20;20;LghghreGAME;LghghreGAME
5034;ImaKing;April;2021;299,00 Ä;20;20;20;AlexandrGetmanskiy;AlexandrGetmanskiy
5035;Idlemagicherb;September;2022;499,00 Ä;20;20;20;okyakusama;okyakusama
5036;IndeepThecasualdungeoncrawler;August;2017;0,00 Ä;20;20;20;BernhardPotuzak;BernhardPotuzak
5037;Aiso;January;2018;99,00 Ä;20;20;20;bdmeii;bdmeii
5038;EndlessCrusade;May;2018;499,00 Ä;20;20;20;BeijingOmnicityTechnologyCoLtd;BeijingOmnicityTechnologyCoLtd
5039;JadesDungeonDescent;July;2018;199,00 Ä;20;20;20;LoftSkyEntertainmentInc;LoftSkyEntertainmentInc
5040;WolfTheEvolutionStory;August;2018;599,00 Ä;20;20;20;FoxieVentures;AppBusinessVenturesLLC
5041;DeathCollector;December;2018;599,00 Ä;20;20;20;ChoiceofGames;ChoiceofGames
5042;GladiatorRoadtotheColosseum;January;2019;399,00 Ä;20;20;20;HostedGames;HostedGames
5043;Tomscape;January;2020;299,00 Ä;20;20;20;SokpopCollective;SokpopCollective
5044;TheDragonSword;January;2021;1.799,00 Ä;20;20;20;SMG†;RMAsia
5045;SolenarsEdgeIIChampions;July;2020;299,00 Ä;20;50;35;TeamSyukino;TeamSyukino
5046;FantasyAdventure;February;2021;3.999,00 Ä;20;20;20;SESEGMAE;SESEGMAE
5047;;August;2022;299,00 Ä;20;20;20;ù;ù
5048;IdleHero;August;2022;199,00 Ä;20;20;20;PaulArt;PaulArt
5049;Hydroactive;December;2017;99,00 Ä;20;20;20;Scythuz;NewRealityGames
5050;;October;2019;499,00 Ä;20;20;20;;
5051;RevolutionDiabolique;February;2022;799,00 Ä;20;20;20;ChoiceofGames;ChoiceofGames
5052;DegenerateSouls;May;2021;1.999,00 Ä;20;20;20;;
5053;CheckpleaseRestaurantSimulator;October;2021;799,00 Ä;20;20;20;CelestialStudio;CelestialStudio
5054;MissionControlNanoMech;December;2014;899,00 Ä;20;20;20;WisdomTools;WisdomTools
5055;Daemonsgate;October;2017;699,00 Ä;200;500;350;Imagitec;Ziggurat
5056;BreezeofDeath;April;2020;1.499,00 Ä;20;20;20;Control;Control
5057;JumpingOverItWithNekoGirl;February;2021;199,00 Ä;20;20;20;SweetGames;SweetGames
5058;BestofUs;April;2016;299,00 Ä;20;20;20;HostedGames;HostedGames
5059;IslandWorld;April;2021;2.999,00 Ä;20;20;20;DDGAME;DDGAME
5060;ùHeroVillageSimulator;February;2018;299,00 Ä;20;20;20;Smelter;Smelter
5061;TheSorceress;February;2017;499,00 Ä;20;20;20;KarabasStudio;KarabasStudio
5062;HeroesofMythsWarriorsofGods;December;2017;199,00 Ä;20;50;35;IhorKalinin;OrangeGames
5063;BeerBabesandDragons;September;2017;199,00 Ä;20;20;20;KristofDeMeyer;CreativeConsultantsAgency
5064;TheBalloonistBeyondtheClouds;November;2017;99,00 Ä;20;20;20;PandamoniumGamesDesignMainLeaf;PandamoniumGamesDesign
5065;–—––––—è——–––––––––—–––——––;May;2018;199,00 Ä;20;20;20;––—––––––—Å—–;––—––––––—Å—–
5066;Harmonyofthebravest;June;2018;399,00 Ä;20;20;20;LSGames;LSGames
5067;WISGR;July;2018;799,00 Ä;20;20;20;GukLabs;GukLabs
5068;AGentlemanlyAdventure;November;2018;299,00 Ä;20;20;20;NotChickenGames;NotChickenGames
5069;SacredEarthPromise;October;2018;1.299,00 Ä;20;20;20;SacredStarTeamMirageV;SacredStarTeam
5070;DungeonsandDinners;October;2018;99,00 Ä;20;20;20;DobestStudio;DobestStudio
5071;EpicofSerinorDawnshadow;December;2018;999,00 Ä;20;20;20;BenjaminMathis;BenjaminMathis
5072;SlaveRPG;March;2019;499,00 Ä;20;20;20;RisingSunInteractive;RisingSunInteractive
5073;BookofEos;March;2019;299,00 Ä;20;20;20;Dragon'sLayerProductions;Dragon'sLayerProductions
5074;SaveThineKingdom;March;2019;999,00 Ä;20;20;20;PrimarchInteractive;PrimarchInteractive
5075;EURGAVATombofSenza;April;2019;999,00 Ä;20;20;20;IbrahimIndraBaskara;IbrahimIndraBaskara
5076;Beraltors;May;2019;1.999,00 Ä;20;20;20;PhairGames;PhairGamesGreystoneGames
5077;BeVigilant;January;2022;15,00 Ä;20;20;20;ZeroThornStudios;ZeroThornStudios
5078;ElpidaCrnicasdeumaguerreira;June;2019;299,00 Ä;20;20;20;DanielPazos;GuarGameStudio
5079;AsdivineDios;June;2019;1.299,00 Ä;20;20;20;ExeCreateInc;KEMCO
5080;RealManGot100100;June;2019;99,00 Ä;20;50;35;LUCKYSTARSTUDIO;LUCKYSTARSTUDIO
5081;SimgirlsLovemoreCollegeRPG;August;2019;299,00 Ä;20;20;20;BlackspearsMediaInc;BlackspearsMediaInc
5082;TokyoWizard;September;2019;399,00 Ä;20;20;20;HostedGames;HostedGames
5083;;August;2019;99,00 Ä;20;50;35;BlankInteractive;BlankInteractive
5084;Teragard;October;2019;599,00 Ä;20;20;20;MichaelSquirrel;MichaelSquirrel
5085;TheRainbowWorld;December;2019;1.099,00 Ä;20;20;20;GobiGD;GobiGD
5086;MADMaze;October;2019;199,00 Ä;20;20;20;MADDevStudio;MADDevStudio
5087;Beatitas;May;2020;0,00 Ä;20;50;35;StFPStudios;StFPStudios
5088;SolenarsEdgeIIAuroraofTheSeventhDawn;June;2020;0,00 Ä;20;20;20;TeamSyukino;TeamSyukino
5089;TheEndofLabyroniaNerubis;May;2020;699,00 Ä;20;20;20;Labyrinthine;BigBlackBear
5090;Kukui2;October;2020;1.499,00 Ä;20;20;20;YasmanyRomanMiguelRoman;SijawaProduction
5091;ShikariRising;June;2020;499,00 Ä;20;20;20;BlosSumGames;BlosSumGames
5092;LV99FinalFortress;July;2020;899,00 Ä;20;50;35;GreatPotionGames;GreatPotionGames
5093;OnmyoudouArcadeEdition;July;2020;199,00 Ä;20;20;20;octokortex;gameheavy
5094;LiegeDragon;August;2020;1.499,00 Ä;100;200;150;ExeCreateInc;KEMCO
5095;;October;2020;5,00 Ä;20;20;20;è;è
5096;TimeFreeze;November;2021;499,00 Ä;20;20;20;M;M
5097;MiseryStreet;August;2021;599,00 Ä;20;20;20;Aleksandarêuriçi;Aleksandarêuriçi
5098;VesperEtherSagaEpisode1;August;2022;1.799,00 Ä;20;50;35;SylvainHarlautJeremy;SylvainHarlaut
5099;ManaGloom;December;2020;199,00 Ä;20;20;20;Sarynth;Sarynth
5100;ExoIntoStarlight;July;2021;999,00 Ä;20;20;20;Superframe;Superframe
5101;BrokenThornsWestGate;October;2021;399,00 Ä;20;20;20;StickProductionsXeroyd;StickProductions
5102;CasualCommando;January;2021;99,00 Ä;20;20;20;EnaayahSoftwareDevelopmentandServicesPrivateLimited;EnaayahSoftwareDevelopmentandServicesPrivateLimited
5103;DisastercrisisÅç;March;2021;199,00 Ä;20;20;20;YLOGAME;YLOGAME
5104;MortalandMonster;June;2021;1.999,00 Ä;20;20;20;BitsrealmTechnologyChemeraGames;BitsrealmTechnology
5105;EverpixelTactics;September;2021;499,00 Ä;20;50;35;DoomDinoGames;DoomDinoGames
5106;ChromaQuaternion;May;2021;1.499,00 Ä;20;20;20;ExeCreateInc;KEMCO
5107;Augury;May;2021;499,00 Ä;20;20;20;Azure;Azure
5108;BingerNinja;April;2021;99,00 Ä;20;50;35;DigitalSushi;DigitalSushi
5109;Dwarvesbuildandsurvive;August;2021;1.099,00 Ä;20;20;20;Merragamm;Merragamm
5110;TheMajesti;October;2021;799,00 Ä;20;20;20;WiseDadGames;WiseDadGames
5111;BallPartner;August;2021;399,00 Ä;20;20;20;luolei;luolei
5112;Kestrel;June;2021;499,00 Ä;20;20;20;Nectarware;Nectarware
5113;SoulboundSteel;August;2021;1.199,00 Ä;20;20;20;FeelcraftGames;FeelcraftGames
5114;DragonQuestion;September;2021;59,00 Ä;20;20;20;GameMuseum;GameMuseum
5115;GOCRoyale;May;2022;1.199,00 Ä;20;20;20;GameofCards;GameofCards
5116;BeforeBeganç;April;2021;299,00 Ä;20;20;20;TSWHan;TSW
5117;AkyrikonVR;May;2021;599,00 Ä;20;20;20;BeVRStudios;BeVRStudios
5118;GMODE01è;April;2021;349,00 Ä;20;20;20;GMODE;GMODE
5119;DevoulCurseoftheSoulless;June;2021;499,00 Ä;20;20;20;SweepingAvalancheCreations;SweepingAvalancheCreations
5120;AplestiaRetold;December;2021;999,00 Ä;20;20;20;OrfeasGameStudio;OrfeasGameStudio
5121;CubeRunk;February;2022;199,00 Ä;50;100;75;Heliongames;Heliongames
5122;AloneRecode;September;2021;499,00 Ä;20;20;20;Fengraf;Fengraf
5123;AVisittoFriends;December;2021;0,00 Ä;100;200;150;JoelD;
5124;çRPG;October;2021;179,00 Ä;20;20;20;;çÅRMAsia
5125;NihongoHeroes;November;2021;999,00 Ä;20;20;20;monacrea;monacrea
5126;MomosMansion;February;2022;699,00 Ä;20;20;20;NecroCaticGames;NecroCaticGames
5127;SALVATIONLAND;January;2022;399,00 Ä;20;20;20;ERKGames;ERKGames
5128;WelcomeHome;February;2022;699,00 Ä;20;20;20;;
5129;AmbitionRecord;February;2022;1.499,00 Ä;20;20;20;ExeCreateInc;KEMCO
5130;dweeMIXEDThweePack;March;2022;1.999,00 Ä;20;20;20;magicdweedoo;magicdweedoo
5131;OUTLANDER;April;2022;99,00 Ä;20;20;20;IMPERIALDYNAMICS;IMPERIALDYNAMICS
5132;TheLiminal;May;2022;999,00 Ä;20;50;35;Amygdalum;Amygdalum
5133;PitchforkKingdom;September;2022;479,00 Ä;20;20;20;AdamBetz;OddBallInteractive
5134;Palmas;May;2022;499,00 Ä;20;20;20;palmasandpazu;palmasandpazu
5135;SpellWelders;May;2022;599,00 Ä;20;20;20;Lavadog;Lavadog
5136;ChronicleofForgottenTimesPawnoftheGods;June;2022;599,00 Ä;20;20;20;GoldenMoonGames;GoldenMoonGames
5137;†çèTheCelebratedRace;July;2022;59,00 Ä;20;20;20;ÅOldCat;ÅOldCat
5138;NYYO;July;2022;799,00 Ä;20;20;20;AmitaInnovation;AmitaInnovationOpendream
5139;MythofMirka;July;2022;99,00 Ä;20;50;35;ShawnKilian;ShawnKilian
5140;CityFascination;August;2022;1.699,00 Ä;20;20;20;çHeavyPupilKiteStudio;SinaeGameStudio
5141;Zimmer;September;2022;299,00 Ä;20;20;20;AndrewRizzo;AndrewRizzo
5142;Might&MagicHeroesVIShadesofDarkness;May;2013;1.499,00 Ä;50;100;75;Virtuos;Ubisoft
5143;BirthofShadows;November;2015;499,00 Ä;20;20;20;PrecisionGamesLLC;PrecisionGamesLLC
5144;ikenie;August;2016;299,00 Ä;20;20;20;AkumuGames;AkumuGames
5145;MinionsMonstersandMadness;January;2017;399,00 Ä;20;20;20;AdamHebert;AdamHebert
5146;DrDungeonsMADMAN;July;2017;1.499,00 Ä;20;20;20;RobertJDeutsch;RobertJDeutsch
5147;InvictusIntheShadowofOlympus;December;2017;999,00 Ä;200;500;350;QuicksilverSoftware;Interplay
5148;LOAMeAndAngel;January;2018;399,00 Ä;20;20;20;DayplayCoLtd;DayplayCoLtd
5149;TheTreasureSeekersofLadyLuck;January;2018;299,00 Ä;20;20;20;ChoiceofGames;ChoiceofGames
5150;Aplestia;February;2018;399,00 Ä;20;20;20;OrfeasGameStudio;OrfeasGameStudio
5151;AsimovLaws;May;2018;999,00 Ä;20;20;20;CuijinTechnology;CuijinTechnology
5152;ELDRLEGACY;June;2018;299,00 Ä;20;20;20;WJLEGAME;WJLEGAME
5153;Å;June;2018;199,00 Ä;20;20;20;wuxin;wuxin
5154;ORIGIN;March;2019;1.499,00 Ä;20;20;20;†;†
5155;RevenantDogma;October;2018;1.299,00 Ä;20;20;20;ExeCreateInc;KEMCO
5156;SoulIvyC0;October;2018;99,00 Ä;20;20;20;SoulIvy;SoulIvy
5157;FallenSkyOnline;October;2018;199,00 Ä;20;20;20;MarcoBraun;VaultSoftworks
5158;TowerHex;January;2019;999,00 Ä;20;20;20;TowerHexGames;TowerHexGames
5159;MEMES;February;2019;699,00 Ä;20;20;20;MEMEStudiosRafalKorbaczynski;RafalKorbaczynski
5160;êStealth;August;2019;1.299,00 Ä;20;20;20;CoreGear;CoreGear
5161;HeraldoftheDepths;April;2019;99,00 Ä;20;20;20;JacyGames;JacyGames
5162;MeuMundo;August;2019;499,00 Ä;20;20;20;TiagoPortella;DuPortella
5163;ParachronismOrderofChaos;September;2019;999,00 Ä;20;20;20;NinjaVault;NinjaVault
5164;KungFuJesus;May;2021;1.499,00 Ä;20;20;20;CelestialGoldStudios;CelestialGoldStudios
5165;ReelFishingRoadTripAdventure;September;2019;2.999,00 Ä;20;20;20;TachyonIncNatsumeInc;NatsumeInc
5166;LivingwithaScarecrow;December;2019;199,00 Ä;20;20;20;ê;çÅ
5167;PhoenixTales;November;2019;299,00 Ä;20;20;20;AdventurersGuildEntertainmentStevenDiLeo;AdventurersGuildEntertainment
5168;CubeCreatorX;November;2019;1.999,00 Ä;20;20;20;ArcSystemWorks;ArcSystemWorks
5169;SuperCrystalHunter;February;2020;599,00 Ä;20;20;20;NetherwareEntertainment;NetherwareEntertainment
5170;OhSoLuckyDoctor;March;2020;99,00 Ä;20;20;20;paulstephendavis;paulstephendavis
5171;FatefulEndTrueCaseFiles;November;2020;999,00 Ä;20;20;20;Genuine;GiikuGames
5172;Digitizer;April;2022;1.899,00 Ä;20;20;20;IlanManor;IlanManor
5173;ZatorskiPhD;March;2020;4,00 Ä;20;50;35;XYNGames;XYNGames
5174;Hecaton;April;2020;499,00 Ä;20;20;20;NWatchGames;NWatchGames
5175;Defendthevillagefromgoblins;April;2020;399,00 Ä;20;20;20;Goldkade;Goldkade
5176;Rapture;August;2020;499,00 Ä;20;20;20;PlatinumStarGames;PlatinumStarGames
5177;BALROG;November;2021;2.499,00 Ä;20;20;20;DoodstormerProductions;DoodstormerProductions
5178;LloydtheMonkey2;August;2020;599,00 Ä;20;20;20;MeyerGames;MeyerGames
5179;PathoftheMartyrs;August;2020;499,00 Ä;20;20;20;KazukiTakamura;AngelStarStudios
5180;SimpleTools;August;2020;1.499,00 Ä;20;20;20;AcFunandbilibili†;AcFunandbilibili†
5181;DerBlaueDiamant;December;2020;599,00 Ä;20;20;20;MarcoGames;Hoi4Deu
5182;PirateofMadagascarIsland;February;2021;499,00 Ä;20;20;20;PranayMunda;PranayMunda
5183;TigerTank;April;2021;199,00 Ä;20;20;20;TIANDAHAI;TIANDAHAI
5184;WoodHeart;August;2021;499,00 Ä;20;20;20;RemakeGamesStudios;RemakeGamesStudios
5185;SurviveIntoNight;August;2021;399,00 Ä;20;20;20;GenetixStudio;NotFamous
5186;DragonsVengeance;August;2021;499,00 Ä;20;20;20;DreamCityGames;DreamCityGames
5187;FinalFoe;May;2022;1.299,00 Ä;20;20;20;Alekliart;Alekliart
5188;HOGuruPresentsTheHouseWithTooManyZombiesInIt;December;2021;399,00 Ä;20;50;35;StarSystemStudios;HOGuruGames!
5189;thisHouse;June;2022;799,00 Ä;20;20;20;WiresEntertainment;WiresEntertainment
5190;7DaysToSaveTheWorld;February;2022;399,00 Ä;20;20;20;GianGrunderNicolasGrunder;FounderStudio
5191;Å;January;2022;0,00 Ä;20;50;35;Corgi;Corgi
5192;KingofHeroes;February;2022;999,00 Ä;20;20;20;PaperFanGames;PaperFanGames
5193;CheatDay;March;2022;99,00 Ä;20;20;20;McHunterStudio;McHunterStudio
5194;êAfterDeath;March;2022;1.299,00 Ä;20;50;35;;
5195;LAMBDAendTHEORY;March;2022;199,00 Ä;20;20;20;Pixleaves;Pixleaves
5196;RoguePG;March;2022;99,00 Ä;20;20;20;TaylerTolman;TMTStudios
5197;Sillage;April;2022;599,00 Ä;20;20;20;Vludos;Vludos
5198;GAMEDOG;April;2022;5,00 Ä;20;20;20;GHXYK2bankbank;WainstopJames
5199;GhostsofHollowCreek;June;2022;999,00 Ä;20;20;20;RichardHolleman;AquatikStudios
5200;FallenLegionRevenants;August;2022;3.999,00 Ä;20;20;20;YummyYummyTummyInc;NISAmericaInc
5201;RalphspartyRPG;May;2022;499,00 Ä;50;100;75;Samuvt2;Samuvt2
5202;MyDestiny;August;2022;999,00 Ä;20;20;20;Butengoentertainment;Butengoentertainment
5203;CoinOperatedCarnage;July;2022;1.199,00 Ä;20;50;35;DanielHeilmeier;DanielHeilmeier
5204;PicotEther;August;2022;699,00 Ä;20;20;20;InutoNeko;StarshipStudio
5205;RescueFromGoblinDeep;January;2016;899,00 Ä;20;20;20;DuncanPerhamSteveTierney;FloatingBrainLimited
5206;PuzzleGuardians;April;2017;1.099,00 Ä;20;20;20;MirynInnovation;MirynInnovation
5207;AshesofKanaka;April;2017;199,00 Ä;20;50;35;DogwoodGaming;DogwoodGaming
5208;7Pillars;June;2017;199,00 Ä;20;20;20;MarkHagan;MarkHagan
5209;RulesofDestruction;August;2017;799,00 Ä;20;20;20;FireBurnGames;FireBurnGames
5210;WalkingHeavy;October;2017;499,00 Ä;20;20;20;GOStudio;GOStudio
5211;DeepSpaceUnknownUniverse;December;2017;299,00 Ä;20;20;20;MatouLrinc;MatouLrinc
5212;ForRentHauntedHouse;January;2018;499,00 Ä;20;20;20;ChoiceofGames;ChoiceofGames
5213;YetisParoleOfficer;January;2018;299,00 Ä;20;20;20;ChoiceofGames;ChoiceofGames
5214;LVL99AxeRage;January;2018;999,00 Ä;20;20;20;MasterUOMU;MasterUOMU
5215;ChoiceoftheVampireTheFallofMemphis;February;2018;599,00 Ä;20;20;20;ChoiceofGames;ChoiceofGames
5216;HuckleberryFalls;September;2018;299,00 Ä;20;20;20;FatcatGames;FatcatGames
5217;TheForgottenVoid;May;2018;799,00 Ä;20;20;20;VoidlessStudios;VoidlessStudios
5218;LostLegend;July;2018;299,00 Ä;50;100;75;UnhingedLLC;UnhingedLLC
5219;LUXOBuddies;August;2018;99,00 Ä;20;50;35;MyarcadegamesStudios;MyarcadegamesStudios
5220;FleetScrapper;February;2019;399,00 Ä;20;20;20;JamesFitzgeraldCavedensDavidFitzgeraldPerfectfitz;CreatorshipGames
5221;Vaporspace;March;2019;499,00 Ä;20;20;20;NocturnalSheep;NocturnalSheep
5222;WINDSHIFT;May;2019;1.099,00 Ä;20;20;20;REALCoLtd;REALCoLtd
5223;Trysaria;June;2019;1.999,00 Ä;20;20;20;OblitusGames;OblitusGames
5224;Surroundedbymice;May;2019;99,00 Ä;20;20;20;yangzhi;yangzhi
5225;ChaosDreamRetribution;June;2019;399,00 Ä;20;20;20;SimProseStudios;SimProseStudios
5226;EslanderAlpha;August;2019;599,00 Ä;20;20;20;TeamTitan;TeamTitan
5227;Zombien;August;2019;299,00 Ä;20;20;20;HostedGames;HostedGames
5228;HeroesSwipeRight;March;2020;499,00 Ä;20;20;20;OneMethodMonkeyLLC;OneMethodMonkeyLLC
5229;DraconicRoute;October;2019;299,00 Ä;20;20;20;727NotHound;727NotHound
5230;IntheServiceofMrsClaus;December;2019;399,00 Ä;20;20;20;ChoiceofGames;ChoiceofGames
5231;DryGrass;April;2020;499,00 Ä;20;20;20;MatusPavkeje;PogyProduction
5232;TowerofGod;April;2020;199,00 Ä;20;20;20;MoonlightGames;MoonlightGames
5233;BouncerStory;November;2020;799,00 Ä;20;20;20;HelmiGames;PlugInDigital
5234;NOMANISANISLAND;December;2020;999,00 Ä;20;20;20;ISLEGAME;ISLEGAME
5235;Dungen;April;2021;999,00 Ä;20;20;20;SVGames;SVGames
5236;ÅRelicsofancestors;March;2021;89,00 Ä;20;20;20;Clockindream;Clockindream
5237;FenrirsPrelude;June;2021;299,00 Ä;100;200;150;RagnarokAesthetic;RagnarokAesthetic
5238;DrIwanEvolution;November;2021;699,00 Ä;20;20;20;OMSTUDIO;OMSTUDIO
5239;TerragonSymbolOfMagic;September;2021;1.999,00 Ä;20;20;20;RealityShiftStudios;RealityShiftStudios
5240;EvilSoul;September;2021;899,00 Ä;20;20;20;BluePrinting;BluePrinting
5241;TowerToHeaven;October;2021;0,00 Ä;20;20;20;b1stable;b1stable
5242;AlienDefense;January;2022;299,00 Ä;20;20;20;MoonlightGames;MoonlightGames
5243;ToCarryaSword;February;2022;899,00 Ä;20;50;35;WeThreeNouns;MAGICSpellStudios
5244;ZooTales;April;2022;999,00 Ä;20;20;20;SoeinStudioChiEnçÅê;SoeinStudioChiEn
5245;DevilSealingStone;April;2016;799,00 Ä;20;20;20;WJLEGAME;WJLEGAME
5246;MaraiyumRiseoftheSettingSun;August;2015;599,00 Ä;20;20;20;HumdrumSoftwareLLC;HumdrumSoftwareLLC
5247;ElderineDreamstoDestiny;April;2017;399,00 Ä;20;20;20;BlackAlchemyGames;BlackAlchemyGames
5248;DemonMarkARussianSaga;June;2017;499,00 Ä;20;20;20;ChoiceofGames;ChoiceofGames
5249;LamplightStation;October;2018;1.299,00 Ä;20;20;20;OneRoomGames;OneRoomGames
5250;Harsh;January;2018;999,00 Ä;20;20;20;HarshRealityProductionsLLC;HarshRealityProductionsLLC
5251;MultiQuest;January;2018;99,00 Ä;20;20;20;MultiChoiceGames;MultiChoiceGames
5252;EssenceofIlluminationTheBeginning;January;2020;499,00 Ä;20;20;20;Luminous4DLLC;Luminous4DLLC
5253;RuneTech;May;2018;499,00 Ä;20;20;20;JamesConradMicahSigmundMeaghannLeBleu;HyaloidGames
5254;ForgottenRealmRPG;June;2018;199,00 Ä;20;20;20;Triyo;Triyo
5255;HulTheMage;December;2018;499,00 Ä;20;20;20;ScelziStefano;ScelziStefano
5256;BondsoftheSkies;February;2019;1.299,00 Ä;20;20;20;HitPointCoLtd;KEMCO
5257;GunsCraft;July;2019;99,00 Ä;20;20;20;BoogygamesStudios;BoogygamesStudios
5258;KoiUnleashed;April;2020;1.899,00 Ä;20;20;20;WildGrip;WildGrip
5259;LastKnight;August;2019;49,00 Ä;20;20;20;Enoops;Enoops
5260;SwordoftheSlayer;September;2019;499,00 Ä;20;20;20;ChoiceofGames;ChoiceofGames
5261;JazzAge;December;2019;399,00 Ä;20;20;20;Heart'sChoice;Heart'sChoice
5262;WeedCounty;April;2021;1.499,00 Ä;20;20;20;UnicornDen;UnicornDen
5263;†GridsofWorld;April;2021;99,00 Ä;20;20;20;IncreZeroStudio;IncreZeroStudio
5264;SwordandAdventurer;May;2020;599,00 Ä;20;20;20;KonringStudio;Konring
5265;KingdomOfForce;November;2020;699,00 Ä;20;20;20;BeijingHydraTechnologyCoLtd;BeijingHydraTechnologyCoLtd
5266;Å;October;2020;899,00 Ä;20;20;20;y2;y2
5267;MachineryWorld;February;2021;1.999,00 Ä;20;20;20;DYWorks;DYWorks
5268;CorpseMansion;October;2021;1.199,00 Ä;20;20;20;FundthementalGames;FundthementalGames
5269;OrenjiironoKumo;August;2021;199,00 Ä;20;20;20;;
5270;DragonsBane;April;2021;599,00 Ä;20;20;20;StruggleBusGamesLLC;StruggleBusGamesLLC
5271;LostinTerraMora;June;2021;199,00 Ä;20;50;35;FallTrandLW;FallTrandLW
5272;ThePirateKingUltimate;June;2021;699,00 Ä;20;20;20;KATSU;DZTFIX
5273;LostinRedValley;September;2021;499,00 Ä;20;20;20;AlexTyagniryadko;AlexTyagniryadko
5274;MercsFullyLoaded;January;2022;1.999,00 Ä;20;50;35;ByteBombStudios;ByteBombStudios
5275;CloudGirl;January;2022;199,00 Ä;20;20;20;;RosaSpecialStudio
5276;TheHinterLands;May;2016;299,00 Ä;20;20;20;Ackmi;Ackmi
5277;DemonHunter;January;2017;1.999,00 Ä;20;20;20;BeijingSkylineInteractionTechnologyCoLtd;BeijingSkylineInteractionTechnologyCoLtd
5278;ChoiceofZombies;April;2012;399,00 Ä;20;20;20;ChoiceofGames;ChoiceofGames
5279;DruidsTaleCrystalCave;October;2017;1.499,00 Ä;20;20;20;Xenturion;Xenturion
5280;MeriwetherAnAmericanEpic;December;2017;1.499,00 Ä;20;20;20;SortasoftLLC;SortasoftLLC
5281;TombExplorationVR;March;2018;799,00 Ä;20;20;20;Epotech;Epotech
5282;TheTwelveTrials;September;2018;299,00 Ä;20;20;20;HostedGames;HostedGames
5283;TheMartianJob;October;2018;399,00 Ä;20;20;20;ChoiceofGames;ChoiceofGames
5284;è;November;2018;599,00 Ä;20;20;20;ê;ê
5285;AsdivineHeartsII;December;2018;1.299,00 Ä;20;20;20;ExeCreateInc;KEMCO
5286;TheHotel2;May;2019;99,00 Ä;20;20;20;AQGames;NingbingGames
5287;OURHOUSE;September;2019;99,00 Ä;20;20;20;è;è
5288;FarmingVillage;August;2019;199,00 Ä;20;20;20;CharityGamers;CharityGamers
5289;Hyforge;April;2021;1.499,00 Ä;20;20;20;PikoIslandStudios;PikoIslandStudios
5290;MerchantofPhenistoria;February;2021;1.199,00 Ä;20;20;20;VecteurJeux;VecteurJeux
5291;BattleLifeOnline;May;2022;1.499,00 Ä;20;20;20;MG;MG
5292;AFishyRPG;November;2021;49,00 Ä;20;20;20;LGV;LGV
5293;CatTown;January;2022;399,00 Ä;20;20;20;ù;ù
5294;DopeMineArena;June;2022;299,00 Ä;20;20;20;TallonZek;DopeMineGames
5295;çèImpossibleCrimeBook;May;2022;999,00 Ä;20;20;20;;
5296;Rayless;January;2017;199,00 Ä;20;20;20;RebOrn;RebOrn
5297;SwapQuest;August;2017;999,00 Ä;20;20;20;Rebusmind;Rebusmind
5298;NaturallandscapeGuilinLandscape;February;2018;199,00 Ä;20;20;20;MagicvalleyStudio;MagicvalleyStudio
5299;GoldenKey;May;2019;499,00 Ä;20;20;20;SVGames;SVGames
5300;XTeam;May;2008;499,00 Ä;20;20;20;NGameStudios;NGameStudios
5301;EscapeVr;September;2020;1.099,00 Ä;20;20;20;FenceIn;FenceIn
5302;LoveorLovedABulletForMyValentine;February;2018;499,00 Ä;20;20;20;GamerzDan;GamerzDan
5303;Magikiras;March;2018;399,00 Ä;20;20;20;HostedGames;HostedGames
5304;êunbind;November;2018;199,00 Ä;20;20;20;ryouko;JustEPublishing
5305;OtherRealms;September;2021;899,00 Ä;20;20;20;Botgate;Botgate
5306;TheSkyliaProphecy;November;2020;1.499,00 Ä;20;20;20;ERMedia;PlugInDigital
5307;DinoEruption;January;2021;2.499,00 Ä;20;50;35;MULTIVERSUMGmbH;MULTIVERSUMGmbH
5308;EraofDefense;February;2021;99,00 Ä;20;20;20;TristanFogt;TristanFogt
5309;ClashofRobots;November;2017;999,00 Ä;20;20;20;TimuzGames;TimuzGames
5310;TITANHUNTER;February;2020;59,00 Ä;20;20;20;Enoops;Enoops
5311;MONSTERSSURVIVAL;April;2019;799,00 Ä;20;20;20;DCELLGAMESSTUDIO;DCELLGAMESSTUDIO
5312;LightmareCastle;October;2019;199,00 Ä;20;20;20;FundergroundGames;FundergroundGames
5313;ViciousGamblingAgreement;March;2020;899,00 Ä;20;20;20;FANG;FANG
