steamidnumber;gametitle;releasemonth;releaseyear;releaseprice;lowestestimatedownersnumber;highestestimatedownersnumber;averageestimatedownersnumber;developer;publisher
9218;ShinesAdventures2ZombieAttack;September;2019;299,00 Ä;20;20;20;ShineProject;ShineProject
9219;ChoiceofRebelsUprising;November;2017;699,00 Ä;20;20;20;ChoiceofGames;ChoiceofGames
9220;LazyGalaxy2;March;2022;799,00 Ä;20;20;20;ColdwildGames;ColdwildGames
9221;DesktopiaADesktopVillageSimulator;August;2022;999,00 Ä;20;20;20;TheEvergloomTeam;TheEvergloomTeam
9222;AD2047;July;2021;1.999,00 Ä;50;100;75;LeenzeeGames;LeenzeeGames
9223;DungeonKingdomSignoftheMoon;November;2015;1.899,00 Ä;20;20;20;HydroGames;HydroGames
9224;OperationAbyssNewTokyoLegacy;March;2017;1.999,00 Ä;20;20;20;MAGESInc5pbExperienceInc;NISAmericaInc
9225;StarNomad2;December;2015;1.299,00 Ä;50;100;75;HuyPhan;HuyPhan
9226;NightSing;July;2019;599,00 Ä;20;20;20;VKGame;SakuraGame
9227;Ouroboros;May;2018;499,00 Ä;20;20;20;SierraLee;SierraLee
9228;MonkeyKingSimulatorChapterHuaguoMountain;October;2021;64,00 Ä;20;20;20;ShinningCloudStudio;ShinningCloudStudio
9229;DeadEvent;November;2021;499,00 Ä;20;20;20;SourJ;LingonStudios
9230;EmpiresinRuins;March;2021;1.079,00 Ä;20;20;20;HammerandRavens;Hammer&RavensWhisperGames
9231;Moonchild;April;2016;499,00 Ä;20;50;35;AldorleaGames;AldorleaGames
9232;HeroesoftheThreeKingdoms4;November;2020;199,00 Ä;20;50;35;USERJOYTechnologyCoLtd;USERJOYTechnologyCoLtd
9233;GuardiansOath;September;2016;99,00 Ä;20;20;20;Nodamex;NDMXGameStudios
9234;TheDwarfRun;October;2015;359,00 Ä;20;50;35;AlexanderMirdzveli;AlexanderMirdzveli
9235;FightingFantasyLegends;July;2017;699,00 Ä;20;50;35;NomadGames;NomadGames
9236;;January;2022;499,00 Ä;20;20;20;BIFROSTCLOUDPTELTD;BIFROSTCLOUDPTELTD
9237;Atonement2RupturedbyDespair;October;2016;599,00 Ä;20;50;35;AstronomicGames;NewRealityGames
9238;WandaABeautifulApocalypse;June;2016;199,00 Ä;100;200;150;KodotsGames;KodotsGames
9239;Lootun;August;2022;499,00 Ä;20;20;20;ArrowSoftGames;ArrowSoftGames
9240;RogueStarRescue;February;2021;1.499,00 Ä;20;20;20;ChuteApps;ChuteApps
9241;JasmineSummer;December;2018;699,00 Ä;20;20;20;JasmineSummerProject;JasmineSummerProject
9242;PropHunter;August;2021;399,00 Ä;20;20;20;AloneFoxGames;AloneFoxGames
9243;PixelSurvivorsRoguelike;June;2022;209,00 Ä;20;20;20;Amrita;Amrita
9244;MightisRight;February;2021;999,00 Ä;20;20;20;LazyKitty;LazyKitty
9245;SometimesAlwaysMonsters;April;2020;1.999,00 Ä;20;20;20;VagabondDog;VagabondDog
9246;ANIMEREDEMPTION;February;2020;199,00 Ä;20;20;20;KonnichiwaGames;KonnichiwaGames
9247;DecayofLogos;August;2019;1.999,00 Ä;20;20;20;AmplifyCreations;RisingStarGames
9248;Classof09;June;2021;999,00 Ä;20;20;20;SBN3;SBN3
9249;SovietpunkChapterone;April;2021;99,00 Ä;20;50;35;HotChill;HotChill
9250;SwordandFairy4;June;2021;1.299,00 Ä;20;20;20;SOFTSTARTECHNOLOGYSHANGHAI;SOFTSTARENTERTAINMENT
9251;DissimilatedLand;August;2018;1.199,00 Ä;20;20;20;SteelWing;GgameStudio
9252;Strategy&TacticsDarkAges;August;2017;1.499,00 Ä;50;100;75;HeroLabs;HeroLabs
9253;TheYellowKing;February;2020;2.499,00 Ä;20;50;35;Spellbook;wwwSpellbookcom
9254;KengaKimiMomoyoTsuzuri;December;2020;4.999,00 Ä;20;20;20;Rejet;BeijingHappyEntertainmentTechnology
9255;SuperDungeonTactics;December;2016;999,00 Ä;20;50;35;UnderbiteGames;UnderbiteGames
9256;TownOfTheDeadLife;January;2021;599,00 Ä;20;50;35;ê;ê
9257;CYBEREMOJITALE2099;March;2021;99,00 Ä;50;100;75;MICROCHELIK5000;MICROCHELIK5000
9258;èTreasureofabyss;September;2018;699,00 Ä;50;100;75;ù;ù
9259;PixelHentaiMosaic;June;2018;99,00 Ä;20;20;20;Wolfgangis;Wolfgangis
9260;ValeGuard;August;2018;999,00 Ä;20;50;35;LostTowerGames;LostTowerGames
9261;SurvivingTitan;April;2020;499,00 Ä;20;20;20;DynamicZero;DynamicZero
9262;DataHackerReboot;April;2015;99,00 Ä;100;200;150;NewRealityGames;NewRealityGames
9263;TheDarkStonefromMebara;February;2015;799,00 Ä;100;200;150;JerseywareGaming;KISSltd
